12/15/23 00:44:02 EST -0500 | ##########  END  ##########
12/15/23 00:45:02 EST -0500 | ########## START ##########
12/15/23 00:45:03 EST -0500 | ##########  END  ##########
12/15/23 00:46:01 EST -0500 | ########## START ##########
12/15/23 00:46:02 EST -0500 | ##########  END  ##########
12/15/23 00:47:01 EST -0500 | ########## START ##########
12/15/23 00:47:02 EST -0500 | ##########  END  ##########
12/15/23 00:48:02 EST -0500 | ########## START ##########
12/15/23 00:48:02 EST -0500 | ##########  END  ##########
12/15/23 00:49:02 EST -0500 | ########## START ##########
12/15/23 00:49:03 EST -0500 | ##########  END  ##########
12/15/23 00:50:01 EST -0500 | ########## START ##########
12/15/23 00:50:02 EST -0500 | ##########  END  ##########
12/15/23 00:51:02 EST -0500 | ########## START ##########
12/15/23 00:51:02 EST -0500 | ##########  END  ##########
12/15/23 00:52:02 EST -0500 | ########## START ##########
12/15/23 00:52:03 EST -0500 | ##########  END  ##########
12/15/23 00:53:01 EST -0500 | ########## START ##########
12/15/23 00:53:02 EST -0500 | ##########  END  ##########
12/15/23 00:54:02 EST -0500 | ########## START ##########
12/15/23 00:54:02 EST -0500 | ##########  END  ##########
12/15/23 00:55:02 EST -0500 | ########## START ##########
12/15/23 00:55:03 EST -0500 | ##########  END  ##########
12/15/23 04:26:02 EST -0500 | ########## START ##########
12/15/23 04:26:03 EST -0500 | ##########  END  ##########
12/15/23 04:27:02 EST -0500 | ########## START ##########
12/15/23 04:27:02 EST -0500 | ##########  END  ##########
12/15/23 04:28:01 EST -0500 | ########## START ##########
12/15/23 04:28:02 EST -0500 | ##########  END  ##########
12/15/23 04:29:02 EST -0500 | ########## START ##########
12/15/23 04:29:02 EST -0500 | ##########  END  ##########
12/15/23 04:30:02 EST -0500 | ########## START ##########
12/15/23 04:30:03 EST -0500 | ##########  END  ##########
12/15/23 04:31:01 EST -0500 | ########## START ##########
12/15/23 04:31:02 EST -0500 | ##########  END  ##########
12/15/23 04:32:01 EST -0500 | ########## START ##########
12/15/23 04:32:02 EST -0500 | ##########  END  ##########
12/15/23 04:33:02 EST -0500 | ########## START ##########
12/15/23 04:33:03 EST -0500 | ##########  END  ##########
12/15/23 04:34:01 EST -0500 | ########## START ##########
12/15/23 04:34:02 EST -0500 | ##########  END  ##########
12/15/23 04:35:01 EST -0500 | ########## START ##########
12/15/23 04:35:02 EST -0500 | ##########  END  ##########
12/15/23 04:36:02 EST -0500 | ########## START ##########
12/15/23 04:36:02 EST -0500 | ##########  END  ##########
12/15/23 04:37:02 EST -0500 | ########## START ##########
12/15/23 04:37:03 EST -0500 | ##########  END  ##########
